Phonon properties
num_branches: 2
num_spectral: 64
k_max: 1.15712e+10
reference_temperature: 300
reference_length: 1e-06
HeatCapV: 3.27691e+18

branch idx k w dw vg invKn density heatCap
0 0 9.04003e+07 8.12873e+11 1.03838e+14 8973.84 2.10525e+07 4.61352e+10 6.36942e-13
0 1 2.71201e+08 2.42881e+12 1.03002e+14 8901.52 1.87998e+08 4.1859e+11 5.77741e-12
0 2 4.52002e+08 4.03167e+12 1.02165e+14 8829.2 5.18261e+08 1.17227e+12 1.61708e-11
0 3 6.32802e+08 5.62146e+12 1.01328e+14 8756.88 1.0083e+09 2.31663e+12 3.193e-11
0 4 8.13603e+08 7.19817e+12 1.00491e+14 8684.56 1.65481e+09 3.86143e+12 5.31637e-11
0 5 9.94404e+08 8.76181e+12 9.96543e+13 8612.24 2.4547e+09 5.81674e+12 7.99765e-11
0 6 1.1752e+09 1.03124e+13 9.88175e+13 8539.92 3.40509e+09 8.19301e+12 1.12469e-10
0 7 1.35601e+09 1.18499e+13 9.79806e+13 8467.6 4.50329e+09 1.1001e+13 1.50738e-10
0 8 1.53681e+09 1.33743e+13 9.71438e+13 8395.28 5.74676e+09 1.42519e+13 1.94878e-10
0 9 1.71761e+09 1.48856e+13 9.6307e+13 8322.96 7.13312e+09 1.79573e+13 2.4498e-10
0 10 1.89841e+09 1.63839e+13 9.54701e+13 8250.64 8.66014e+09 2.2129e+13 3.01131e-10
0 11 2.07921e+09 1.7869e+13 9.46333e+13 8178.32 1.03257e+10 2.67795e+13 3.63418e-10
0 12 2.26001e+09 1.93411e+13 9.37965e+13 8106 1.21278e+10 3.19216e+13 4.31925e-10
0 13 2.44081e+09 2.08002e+13 9.29596e+13 8033.68 1.40646e+10 3.75685e+13 5.06734e-10
0 14 2.62161e+09 2.22461e+13 9.21228e+13 7961.36 1.61341e+10 4.3734e+13 5.87926e-10
0 15 2.80241e+09 2.3679e+13 9.1286e+13 7889.04 1.83347e+10 5.04324e+13 6.75582e-10
0 16 2.98321e+09 2.50988e+13 9.04491e+13 7816.72 2.06647e+10 5.76785e+13 7.69782e-10
0 17 3.16401e+09 2.65056e+13 8.96123e+13 7744.4 2.31224e+10 6.54876e+13 8.70606e-10
0 18 3.34481e+09 2.78992e+13 8.87754e+13 7672.07 2.57063e+10 7.38756e+13 9.78136e-10
0 19 3.52561e+09 2.92798e+13 8.79386e+13 7599.75 2.84148e+10 8.28591e+13 1.09245e-09
0 20 3.70641e+09 3.06473e+13 8.71018e+13 7527.43 3.12462e+10 9.24552e+13 1.21364e-09
0 21 3.88721e+09 3.20017e+13 8.62649e+13 7455.11 3.41992e+10 1.02682e+14 1.34178e-09
0 22 4.06802e+09 3.33431e+13 8.54281e+13 7382.79 3.72722e+10 1.13557e+14 1.47696e-09
0 23 4.24882e+09 3.46713e+13 8.45913e+13 7310.47 4.04637e+10 1.25101e+14 1.61928e-09
0 24 4.42962e+09 3.59865e+13 8.37544e+13 7238.15 4.3772e+10 1.37333e+14 1.76883e-09
0 25 4.61042e+09 3.72887e+13 8.29176e+13 7165.83 4.71957e+10 1.50274e+14 1.9257e-09
0 26 4.79122e+09 3.85777e+13 8.20808e+13 7093.51 5.07332e+10 1.63946e+14 2.08999e-09
0 27 4.97202e+09 3.98537e+13 8.12439e+13 7021.19 5.43829e+10 1.78371e+14 2.26183e-09
0 28 5.15282e+09 4.11166e+13 8.04071e+13 6948.87 5.8143e+10 1.93573e+14 2.44131e-09
0 29 5.33362e+09 4.23664e+13 7.95703e+13 6876.55 6.20121e+10 2.09577e+14 2.62856e-09
0 30 5.51442e+09 4.36032e+13 7.87334e+13 6804.23 6.59882e+10 2.26408e+14 2.8237e-09
0 31 5.69522e+09 4.48268e+13 7.78966e+13 6731.91 7.00697e+10 2.44092e+14 3.02687e-09
0 32 5.87602e+09 4.60374e+13 7.70598e+13 6659.59 7.42546e+10 2.62657e+14 3.23821e-09
0 33 6.05682e+09 4.7235e+13 7.62229e+13 6587.27 7.85412e+10 2.82133e+14 3.45788e-09
0 34 6.23762e+09 4.84194e+13 7.53861e+13 6514.95 8.29274e+10 3.0255e+14 3.68602e-09
0 35 6.41842e+09 4.95908e+13 7.45492e+13 6442.63 8.74113e+10 3.23939e+14 3.92282e-09
0 36 6.59922e+09 5.07491e+13 7.37124e+13 6370.31 9.19907e+10 3.46334e+14 4.16845e-09
0 37 6.78003e+09 5.18943e+13 7.28756e+13 6297.99 9.66635e+10 3.69769e+14 4.42311e-09
0 38 6.96083e+09 5.30264e+13 7.20387e+13 6225.67 1.01428e+11 3.94281e+14 4.687e-09
0 39 7.14163e+09 5.41455e+13 7.12019e+13 6153.35 1.0628e+11 4.19907e+14 4.96035e-09
0 40 7.32243e+09 5.52515e+13 7.03651e+13 6081.03 1.1122e+11 4.46687e+14 5.24339e-09
0 41 7.50323e+09 5.63444e+13 6.95282e+13 6008.71 1.16244e+11 4.74663e+14 5.53636e-09
0 42 7.68403e+09 5.74242e+13 6.86914e+13 5936.39 1.21349e+11 5.03879e+14 5.83954e-09
0 43 7.86483e+09 5.8491e+13 6.78546e+13 5864.07 1.26533e+11 5.3438e+14 6.15321e-09
0 44 8.04563e+09 5.95447e+13 6.70177e+13 5791.75 1.31793e+11 5.66214e+14 6.47767e-09
0 45 8.22643e+09 6.05853e+13 6.61809e+13 5719.43 1.37127e+11 5.99433e+14 6.81325e-09
0 46 8.40723e+09 6.16128e+13 6.53441e+13 5647.11 1.42532e+11 6.34089e+14 7.16028e-09
0 47 8.58803e+09 6.26273e+13 6.45072e+13 5574.79 1.48005e+11 6.70238e+14 7.51915e-09
0 48 8.76883e+09 6.36287e+13 6.36704e+13 5502.47 1.53543e+11 7.0794e+14 7.89024e-09
0 49 8.94963e+09 6.4617e+13 6.28335e+13 5430.15 1.59142e+11 7.47256e+14 8.27396e-09
0 50 9.13043e+09 6.55922e+13 6.19967e+13 5357.83 1.64801e+11 7.88251e+14 8.67077e-09
0 51 9.31124e+09 6.65544e+13 6.11599e+13 5285.51 1.70515e+11 8.30995e+14 9.08114e-09
0 52 9.49204e+09 6.75035e+13 6.0323e+13 5213.19 1.76281e+11 8.7556e+14 9.50557e-09
0 53 9.67284e+09 6.84395e+13 5.94862e+13 5140.87 1.82097e+11 9.22023e+14 9.94462e-09
0 54 9.85364e+09 6.93624e+13 5.86494e+13 5068.55 1.87958e+11 9.70465e+14 1.03988e-08
0 55 1.00344e+10 7.02723e+13 5.78125e+13 4996.22 1.93861e+11 1.02097e+15 1.08689e-08
0 56 1.02152e+10 7.11691e+13 5.69757e+13 4923.9 1.99803e+11 1.07364e+15 1.13554e-08
0 57 1.0396e+10 7.20528e+13 5.61389e+13 4851.58 2.0578e+11 1.12855e+15 1.1859e-08
0 58 1.05768e+10 7.29234e+13 5.5302e+13 4779.26 2.11788e+11 1.18583e+15 1.23806e-08
0 59 1.07576e+10 7.3781e+13 5.44652e+13 4706.94 2.17825e+11 1.24556e+15 1.29209e-08
0 60 1.09384e+10 7.46255e+13 5.36284e+13 4634.62 2.23885e+11 1.30788e+15 1.34808e-08
0 61 1.11192e+10 7.54569e+13 5.27915e+13 4562.3 2.29966e+11 1.37289e+15 1.40612e-08
0 62 1.13e+10 7.62752e+13 5.19547e+13 4489.98 2.36063e+11 1.44074e+15 1.46631e-08
0 63 1.14808e+10 7.70804e+13 5.11179e+13 4417.66 2.42173e+11 1.51156e+15 1.52875e-08
1 0 9.04003e+07 4.70947e+11 6.00448e+13 5189.14 3.32181e+09 7.97839e+10 1.10152e-12
1 1 2.71201e+08 1.40176e+12 5.90992e+13 5107.42 9.88729e+09 7.29544e+11 1.00714e-11
1 2 4.52002e+08 2.3178e+12 5.81535e+13 5025.7 1.63486e+10 2.05946e+12 2.84257e-11
1 3 6.32802e+08 3.21906e+12 5.72079e+13 4943.97 2.27057e+10 4.10327e+12 5.66201e-11
1 4 8.13603e+08 4.10554e+12 5.62623e+13 4862.25 2.89588e+10 6.89696e+12 9.51362e-11
1 5 9.94404e+08 4.97725e+12 5.53167e+13 4780.53 3.51079e+10 1.0479e+13 1.44485e-10
1 6 1.1752e+09 5.83419e+12 5.4371e+13 4698.81 4.11531e+10 1.48905e+13 2.05208e-10
1 7 1.35601e+09 6.67635e+12 5.34254e+13 4617.09 4.70945e+10 2.01755e+13 2.77883e-10
1 8 1.53681e+09 7.50373e+12 5.24798e+13 4535.36 5.29322e+10 2.63813e+13 3.63127e-10
1 9 1.71761e+09 8.31634e+12 5.15342e+13 4453.64 5.86663e+10 3.35585e+13 4.61597e-10
1 10 1.89841e+09 9.11418e+12 5.05886e+13 4371.92 6.4297e+10 4.17616e+13 5.74e-10
1 11 2.07921e+09 9.89724e+12 4.96429e+13 4290.2 6.98243e+10 5.10492e+13 7.01092e-10
1 12 2.26001e+09 1.06655e+13 4.86973e+13 4208.48 7.52484e+10 6.14845e+13 8.43687e-10
1 13 2.44081e+09 1.1419e+13 4.77517e+13 4126.75 8.05693e+10 7.31357e+13 1.00266e-09
1 14 2.62161e+09 1.21578e+13 4.68061e+13 4045.03 8.57872e+10 8.60765e+13 1.17897e-09
1 15 2.80241e+09 1.28817e+13 4.58604e+13 3963.31 9.09022e+10 1.00387e+14 1.37363e-09
1 16 2.98321e+09 1.35909e+13 4.49148e+13 3881.59 9.59142e+10 1.16153e+14 1.58775e-09
1 17 3.16401e+09 1.42853e+13 4.39692e+13 3799.87 1.00823e+11 1.33468e+14 1.82255e-09
1 18 3.34481e+09 1.49649e+13 4.30236e+13 3718.14 1.0563e+11 1.52436e+14 2.07933e-09
1 19 3.52561e+09 1.56298e+13 4.20779e+13 3636.42 1.10334e+11 1.73167e+14 2.35953e-09
1 20 3.70641e+09 1.62799e+13 4.11323e+13 3554.7 1.14935e+11 1.95783e+14 2.6647e-09
1 21 3.88721e+09 1.69152e+13 4.01867e+13 3472.98 1.19433e+11 2.20417e+14 2.99658e-09
1 22 4.06802e+09 1.75357e+13 3.92411e+13 3391.26 1.23829e+11 2.47215e+14 3.35703e-09
1 23 4.24882e+09 1.81415e+13 3.82954e+13 3309.54 1.28123e+11 2.76337e+14 3.74813e-09
1 24 4.42962e+09 1.87324e+13 3.73498e+13 3227.81 1.32313e+11 3.0796e+14 4.17215e-09
1 25 4.61042e+09 1.93086e+13 3.64042e+13 3146.09 1.36401e+11 3.42278e+14 4.63162e-09
1 26 4.79122e+09 1.98701e+13 3.54586e+13 3064.37 1.40387e+11 3.79508e+14 5.12933e-09
1 27 4.97202e+09 2.04167e+13 3.45129e+13 2982.65 1.44269e+11 4.19888e+14 5.66839e-09
1 28 5.15282e+09 2.09486e+13 3.35673e+13 2900.93 1.48049e+11 4.63686e+14 6.25223e-09
1 29 5.33362e+09 2.14657e+13 3.26217e+13 2819.2 1.51726e+11 5.11197e+14 6.88474e-09
1 30 5.51442e+09 2.1968e+13 3.16761e+13 2737.48 1.553e+11 5.62754e+14 7.57023e-09
1 31 5.69522e+09 2.24556e+13 3.07304e+13 2655.76 1.58771e+11 6.18732e+14 8.31357e-09
1 32 5.87602e+09 2.29284e+13 2.97848e+13 2574.04 2.8744e+09 6.79551e+14 9.12024e-09
1 33 6.05682e+09 2.33864e+13 2.88392e+13 2492.32 2.95202e+09 7.45688e+14 9.99646e-09
1 34 6.23762e+09 2.38296e+13 2.78936e+13 2410.59 3.02879e+09 8.17682e+14 1.09493e-08
1 35 6.41842e+09 2.4258e+13 2.69479e+13 2328.87 3.10463e+09 8.96151e+14 1.19868e-08
1 36 6.59922e+09 2.46717e+13 2.60023e+13 2247.15 3.17942e+09 9.81802e+14 1.31182e-08
1 37 6.78003e+09 2.50706e+13 2.50567e+13 2165.43 3.25307e+09 1.07545e+15 1.43541e-08
1 38 6.96083e+09 2.54547e+13 2.41111e+13 2083.71 3.32544e+09 1.17803e+15 1.57069e-08
1 39 7.14163e+09 2.58241e+13 2.31655e+13 2001.98 3.39643e+09 1.29064e+15 1.71908e-08
1 40 7.32243e+09 2.61786e+13 2.22198e+13 1920.26 3.46591e+09 1.41455e+15 1.88228e-08
1 41 7.50323e+09 2.65184e+13 2.12742e+13 1838.54 3.53376e+09 1.55129e+15 2.06224e-08
1 42 7.68403e+09 2.68435e+13 2.03286e+13 1756.82 3.59985e+09 1.70263e+15 2.26133e-08
1 43 7.86483e+09 2.71537e+13 1.9383e+13 1675.1 3.66405e+09 1.87072e+15 2.48234e-08
1 44 8.04563e+09 2.74492e+13 1.84373e+13 1593.38 3.72622e+09 2.05813e+15 2.72866e-08
1 45 8.22643e+09 2.77299e+13 1.74917e+13 1511.65 3.78625e+09 2.26799e+15 3.0044e-08
